#t step_exp step_exp_err step_rel step_rel_err diff_exp diff_exp_err diff_rel diff_rel_err chem_exp chem_exp_err chem_rel chem_rel_err speedup speedup_err 
27 0.00460834 2.16779e-07 4.09264e-05 3.07795e-10 2.14684e-05 4.2014e-09 2.69846e-05 8.3877e-10 0.00458687 2.12587e-07 1.39417e-05 1.14639e-09 112.601 0.0391998
28 0.00465044 5.13879e-07 4.10957e-05 2.67116e-10 2.15723e-05 7.49566e-11 2.71557e-05 1.07194e-09 0.00462887 5.13963e-07 1.394e-05 8.04901e-10 113.162 0.0487612
29 0.00468738 2.97239e-07 4.12606e-05 1.76407e-10 2.16837e-05 1.0837e-09 2.73018e-05 3.02741e-10 0.0046657 2.98354e-07 1.39588e-05 1.27125e-10 113.604 0.0396853
30 0.00472302 7.5154e-08 4.22356e-05 1.45042e-10 2.18253e-05 1.82073e-09 2.79905e-05 7.50705e-10 0.00470119 7.33404e-08 1.42451e-05 6.05845e-10 111.826 0.0421941
31 0.00476113 1.00938e-07 4.15818e-05 1.44161e-10 2.1931e-05 8.679e-10 2.76078e-05 3.26079e-10 0.0047392 1.00069e-07 1.3974e-05 1.81976e-10 114.501 0.0347883
32 0.00479908 1.55882e-07 4.17411e-05 9.19172e-10 2.20362e-05 1.63603e-10 2.77484e-05 9.05785e-10 0.00477704 1.55752e-07 1.39928e-05 1.42702e-11 114.973 0.0374932
33 0.00482713 3.02951e-07 4.19056e-05 2.72516e-10 2.21515e-05 1.17389e-09 2.79125e-05 5.91605e-10 0.00480498 3.041e-07 1.39931e-05 8.63903e-10 115.191 0.0447465
34 0.00485831 2.11061e-07 4.20491e-05 8.33588e-11 2.22543e-05 1.49235e-09 2.80453e-05 3.20151e-10 0.00483605 2.09534e-07 1.40038e-05 2.36918e-10 115.539 0.0339855
35 0.00487893 1.61157e-07 4.13679e-05 1.00638e-10 2.23694e-05 2.51743e-09 2.76295e-05 9.28993e-10 0.00485656 1.58637e-07 1.37385e-05 1.02949e-09 117.94 0.0383476
36 0.0049158 6.39238e-08 4.15211e-05 9.22667e-10 2.24997e-05 4.85363e-10 2.77643e-05 2.03154e-09 0.0048933 6.34677e-08 1.37568e-05 1.10992e-09 118.393 0.0453762
37 0.0049452 5.44437e-07 4.16601e-05 4.48502e-11 2.26153e-05 7.25642e-10 2.78939e-05 1.7135e-09 0.00492259 5.45149e-07 1.37661e-05 1.66862e-09 118.704 0.0351456
38 0.00497194 6.64161e-08 4.18091e-05 2.04634e-10 2.27165e-05 3.74749e-10 2.80433e-05 7.61536e-10 0.00494922 6.60779e-08 1.37658e-05 9.65831e-10 118.92 0.0437439
39 0.00499471 9.45003e-08 4.19449e-05 1.75869e-10 2.28093e-05 3.32406e-10 2.81664e-05 7.59731e-10 0.0049719 9.48058e-08 1.37785e-05 5.83967e-10 119.078 0.0390798
40 0.00502755 3.48916e-08 4.20901e-05 1.7059e-10 2.29119e-05 3.59708e-09 2.83114e-05 1.04041e-09 0.00500464 3.12694e-08 1.37787e-05 8.69933e-10 119.447 0.0365861
41 0.0050533 2.85056e-07 4.22304e-05 2.63971e-10 2.30176e-05 9.94768e-10 2.84306e-05 9.08035e-10 0.00503028 2.86068e-07 1.37998e-05 6.44115e-10 119.66 0.0383965
42 0.00507928 1.29232e-07 4.23783e-05 6.1702e-10 2.31321e-05 1.94075e-09 2.85766e-05 1.32536e-09 0.00505615 1.27286e-07 1.38017e-05 7.0931e-10 119.856 0.0570307
43 0.00509739 1.44681e-07 4.24885e-05 2.4971e-10 2.32056e-05 1.29936e-09 2.86806e-05 1.00531e-09 0.00507418 1.43392e-07 1.38079e-05 7.56126e-10 119.971 0.0440255
44 0.00513018 1.21289e-07 4.26201e-05 8.76883e-10 2.33115e-05 9.53415e-10 2.88024e-05 9.52798e-10 0.00510687 1.22229e-07 1.38176e-05 7.59311e-11 120.37 0.0305472
45 0.00513729 3.38296e-07 4.27492e-05 1.55246e-10 2.3411e-05 2.18849e-09 2.89457e-05 8.11441e-10 0.00511388 3.36136e-07 1.38036e-05 6.56337e-10 120.173 0.0457276
46 0.00515602 1.23091e-07 4.28718e-05 7.43041e-11 2.34903e-05 1.35111e-10 2.90268e-05 1.63454e-09 0.00513253 1.23245e-07 1.3845e-05 1.5603e-09 120.266 0.03866
47 0.00518192 3.19337e-07 4.29975e-05 1.16127e-10 2.35992e-05 8.46453e-10 2.91861e-05 3.68979e-10 0.00515832 3.20215e-07 1.38114e-05 4.84978e-10 120.517 0.0429061
48 0.00520462 9.93205e-08 4.31188e-05 2.65412e-11 2.36765e-05 5.68023e-11 2.92708e-05 1.67016e-09 0.00518094 9.93406e-08 1.3848e-05 1.69576e-09 120.704 0.0440651
49 0.00522331 2.58925e-07 4.32395e-05 1.03411e-09 2.37644e-05 1.23721e-09 2.93993e-05 1.92738e-09 0.00519955 2.57733e-07 1.38402e-05 2.96115e-09 120.8 0.0431043
50 0.00524652 7.99822e-08 4.33616e-05 1.73104e-10 2.38627e-05 1.31886e-09 2.95095e-05 1.95507e-09 0.00522265 7.87454e-08 1.38521e-05 1.78219e-09 120.995 0.0409687
51 0.00526146 0 4.3488e-05 0 2.39586e-05 0 2.96174e-05 0 0.0052375 0 1.38706e-05 0 120.986 0.0371152
52 0.00528528 0 4.36039e-05 0 2.40369e-05 0 2.9729e-05 0 0.00526124 0 1.38749e-05 0 121.211 0.0384084
53 0.00530726 0 4.37162e-05 0 2.41306e-05 0 2.98527e-05 0 0.00528313 0 1.38635e-05 0 121.403 0.0363719
54 0.00532205 0 4.38488e-05 0 2.42367e-05 0 2.99596e-05 0 0.00529781 0 1.38892e-05 0 121.373 0.0454582
55 0.00533624 0 4.39579e-05 0 2.43123e-05 0 3.00718e-05 0 0.00531193 0 1.38861e-05 0 121.394 0.0360935
56 0.00535327 0 4.40706e-05 0 2.43827e-05 0 3.01701e-05 0 0.00532888 0 1.39006e-05 0 121.47 0.0428162
57 0.00537624 0 4.41882e-05 0 2.44751e-05 0 3.02853e-05 0 0.00535176 0 1.3903e-05 0 121.667 0.0321569
58 0.00538727 0 4.43184e-05 0 2.45612e-05 0 3.03907e-05 0 0.00536271 0 1.39278e-05 0 121.558 0.0388574
59 0.00539137 0 4.44176e-05 0 2.46363e-05 0 3.04923e-05 0 0.00536673 0 1.39253e-05 0 121.379 0.0388062
60 0.00541656 0 4.4506e-05 0 2.47475e-05 0 3.05849e-05 0 0.00539182 0 1.39212e-05 0 121.704 0.0370788
61 0.00543057 0 4.46281e-05 0 2.48202e-05 0 3.06978e-05 0 0.00540575 0 1.39303e-05 0 121.685 0.0377978
62 0.00544236 0 4.47355e-05 0 2.48866e-05 0 3.08034e-05 0 0.00541747 0 1.39321e-05 0 121.656 0.0393925
63 0.00546056 0 4.48273e-05 0 2.49737e-05 0 3.0906e-05 0 0.00543559 0 1.39213e-05 0 121.814 0.0418316
64 0.00548012 0 4.49568e-05 0 2.50441e-05 0 3.0987e-05 0 0.00545508 0 1.39698e-05 0 121.898 0.0437886
65 0.00549009 0 4.50536e-05 0 2.51426e-05 0 3.11053e-05 0 0.00546494 0 1.39483e-05 0 121.857 0.0458557
66 0.00550217 0 4.51511e-05 0 2.52261e-05 0 3.11992e-05 0 0.00547694 0 1.39519e-05 0 121.861 0.0394007
67 0.00551505 0 4.52856e-05 0 2.53081e-05 0 3.12896e-05 0 0.00548974 0 1.3996e-05 0 121.784 0.0532653
68 0.00552952 0 4.5379e-05 0 2.53871e-05 0 3.14031e-05 0 0.00550413 0 1.39759e-05 0 121.852 0.0475328
69 0.0055404 0 4.54764e-05 0 2.54449e-05 0 3.15043e-05 0 0.00551496 0 1.39721e-05 0 121.831 0.0558654
70 0.00555397 0 4.55811e-05 0 2.55172e-05 0 3.15881e-05 0 0.00552845 0 1.3993e-05 0 121.848 0.0433594
71 0.00556683 0 4.56407e-05 0 2.55902e-05 0 3.16857e-05 0 0.00554124 0 1.3955e-05 0 121.971 0.0398118
72 0.00557672 0 4.5755e-05 0 2.56818e-05 0 3.17817e-05 0 0.00555104 0 1.39733e-05 0 121.882 0.0391989
73 0.00558555 0 4.58623e-05 0 2.57655e-05 0 3.18619e-05 0 0.00555978 0 1.40004e-05 0 121.79 0.0461544
74 0.00559438 0 4.59567e-05 0 2.58356e-05 0 3.19672e-05 0 0.00556855 0 1.39895e-05 0 121.732 0.042018
75 0.00559816 0 4.60605e-05 0 2.58898e-05 0 3.20636e-05 0 0.00557227 0 1.3997e-05 0 121.54 0.0473669
76 0.00561917 0 4.61568e-05 0 2.59666e-05 0 3.21466e-05 0 0.0055932 0 1.40102e-05 0 121.741 0.041841
77 0.00562632 0 4.62566e-05 0 2.60373e-05 0 3.22614e-05 0 0.00560028 0 1.39952e-05 0 121.633 0.0425337
78 0.0056375 0 4.63521e-05 0 2.61049e-05 0 3.23297e-05 0 0.00561139 0 1.40224e-05 0 121.623 0.0369051
79 0.00565181 0 4.64425e-05 0 2.61867e-05 0 3.24221e-05 0 0.00562562 0 1.40203e-05 0 121.695 0.037585
80 0.00565955 0 4.65626e-05 0 2.6262e-05 0 3.25208e-05 0 0.00563329 0 1.40418e-05 0 121.547 0.0421847
81 0.00565909 0 4.6655e-05 0 2.63534e-05 0 3.26196e-05 0 0.00563274 0 1.40354e-05 0 121.297 0.0502581
82 0.00568392 0 4.67466e-05 0 2.64174e-05 0 3.26992e-05 0 0.00565751 0 1.40474e-05 0 121.59 0.0431829
83 0.00568524 0 4.68475e-05 0 2.64769e-05 0 3.2794e-05 0 0.00565876 0 1.40535e-05 0 121.356 0.0399422
84 0.00569294 0 4.69161e-05 0 2.65516e-05 0 3.2883e-05 0 0.00566638 0 1.40331e-05 0 121.343 0.0426443
85 0.00570466 0 4.70606e-05 0 2.66391e-05 0 3.2956e-05 0 0.00567802 0 1.41045e-05 0 121.22 0.0495544
86 0.00572056 0 4.71102e-05 0 2.66898e-05 0 3.30646e-05 0 0.00569387 0 1.40456e-05 0 121.43 0.042356
