#t step_exp step_exp_err step_rel step_rel_err diff_exp diff_exp_err diff_rel diff_rel_err chem_exp chem_exp_err chem_rel chem_rel_err speedup speedup_err 
1 0.00291827 1.0662e-07 0.000164525 6.7546e-09 1.54598e-05 9.7964e-10 9.62258e-05 1.69962e-09 0.00290281 1.05594e-07 6.82989e-05 5.05665e-09 17.7376 0.00736435
2 0.00287849 2.79824e-07 6.77442e-05 2.14176e-09 1.62888e-05 1.12831e-09 4.02991e-05 1.3887e-09 0.0028622 2.78736e-07 2.7445e-05 7.53905e-10 42.4906 0.0204517
3 0.00318461 2.02662e-07 6.29492e-05 2.20167e-11 1.67861e-05 1.38472e-09 3.78439e-05 1.33232e-09 0.00316783 2.04057e-07 2.51053e-05 1.31041e-09 50.5902 0.0211823
4 0.00342677 2.21874e-07 5.49635e-05 2.90749e-10 1.71603e-05 1.04973e-09 3.32728e-05 1.82796e-09 0.00340961 2.20845e-07 2.16906e-05 1.53738e-09 62.3463 0.0282859
5 0.00364212 2.04794e-07 4.80117e-05 2.53946e-10 1.7495e-05 1.32752e-09 2.91892e-05 9.42709e-10 0.00362462 2.06174e-07 1.88225e-05 6.88837e-10 75.8592 0.0332743
6 0.0038133 1.70433e-07 4.63848e-05 1.80302e-09 1.7786e-05 2.63588e-10 2.83573e-05 1.64081e-09 0.00379551 1.70676e-07 1.80275e-05 1.63098e-10 82.2102 0.0326357
7 0.00398632 1.19934e-07 4.75585e-05 6.74468e-10 1.80726e-05 2.22922e-10 2.92344e-05 1.05605e-09 0.00396825 1.19727e-07 1.83241e-05 3.81752e-10 83.8197 0.0453646
8 0.00414109 9.90626e-08 4.58419e-05 1.58039e-09 1.83187e-05 1.14279e-09 2.83315e-05 5.12225e-10 0.00412277 9.79413e-08 1.75104e-05 1.069e-09 90.3342 0.029808
9 0.00429233 3.44832e-07 4.55011e-05 3.43667e-10 1.85378e-05 1.09569e-09 2.82538e-05 6.31664e-10 0.0042738 3.45961e-07 1.72473e-05 2.88139e-10 94.335 0.0388292
10 0.00441793 3.51307e-07 4.36841e-05 3.84549e-10 1.8753e-05 1.29318e-09 2.72213e-05 2.25561e-09 0.00439917 3.526e-07 1.64628e-05 1.87111e-09 101.134 0.0380624
11 0.00455387 2.11224e-07 4.40095e-05 3.36623e-10 1.8973e-05 1.37099e-09 2.75261e-05 3.82726e-10 0.0045349 2.09896e-07 1.64834e-05 4.63047e-11 103.475 0.0387822
12 0.00466295 3.38808e-07 4.05961e-05 7.66307e-11 1.9166e-05 1.21671e-09 2.54393e-05 4.28212e-10 0.00464378 3.37577e-07 1.51568e-05 5.04689e-10 114.862 0.0518431
13 0.00478963 2.3758e-07 4.38645e-05 3.32855e-10 1.93563e-05 1.20083e-09 2.76305e-05 4.94343e-10 0.00477027 2.38789e-07 1.6234e-05 8.26874e-10 109.191 0.0358639
14 0.00489412 4.66324e-07 4.03917e-05 5.99631e-10 1.95459e-05 1.08384e-09 2.55021e-05 5.3918e-10 0.00487457 4.6523e-07 1.48896e-05 1.13776e-09 121.168 0.0730826
15 0.00500103 1.35065e-07 4.13893e-05 4.96116e-10 1.97227e-05 1.3957e-09 2.62046e-05 2.26762e-09 0.00498131 1.36429e-07 1.51846e-05 1.77236e-09 120.83 0.0514592
16 0.00510491 2.03646e-07 4.31375e-05 3.50127e-10 1.9884e-05 8.68681e-11 2.74134e-05 5.9319e-10 0.00508503 2.03573e-07 1.57241e-05 9.42434e-10 118.341 0.0469505
17 0.00520271 1.42413e-07 4.18181e-05 8.10716e-11 2.00366e-05 1.21237e-09 2.66489e-05 8.35976e-10 0.00518267 1.436e-07 1.51692e-05 7.5508e-10 124.413 0.0504473
18 0.00530075 1.35266e-07 4.12603e-05 1.26035e-10 2.01981e-05 5.98108e-11 2.63547e-05 1.02824e-09 0.00528055 1.35185e-07 1.49056e-05 1.15281e-09 128.471 0.0399651
19 0.00539401 4.04034e-07 4.29909e-05 1.31254e-10 2.03549e-05 1.42166e-09 2.75496e-05 5.12473e-10 0.00537365 4.02596e-07 1.54413e-05 6.43492e-10 125.469 0.0432551
20 0.0054779 1.96776e-07 4.0887e-05 1.08962e-10 2.04903e-05 1.22671e-09 2.62641e-05 9.77849e-10 0.00545741 1.98047e-07 1.46229e-05 8.68903e-10 133.977 0.0395323
21 0.00557604 6.80665e-08 4.18492e-05 5.22954e-11 2.06355e-05 1.20883e-09 2.69449e-05 1.13981e-09 0.00555541 6.92627e-08 1.49044e-05 1.19085e-09 133.241 0.0409045
22 0.00565367 2.1237e-07 4.12581e-05 9.7239e-11 2.0803e-05 5.27499e-10 2.66044e-05 1.56363e-09 0.00563287 2.12989e-07 1.46537e-05 1.46649e-09 137.032 0.0411266
23 0.00574016 4.06877e-07 4.22205e-05 1.80081e-10 2.0924e-05 1.13565e-09 2.73155e-05 1.79956e-09 0.00571924 4.07998e-07 1.49051e-05 1.61951e-09 135.957 0.0521018
24 0.0058272 2.31197e-07 4.16196e-05 2.87516e-11 2.10556e-05 1.30753e-09 2.698e-05 5.92461e-10 0.00580614 2.32555e-07 1.46396e-05 6.20984e-10 140.011 0.0486681
25 0.00589187 3.07868e-07 4.099e-05 9.35476e-11 2.11999e-05 2.86081e-10 2.66381e-05 3.21101e-10 0.00587067 3.08181e-07 1.43519e-05 2.27791e-10 143.739 0.0452433
26 0.00596804 1.61492e-07 4.11663e-05 8.51788e-11 2.13205e-05 1.87889e-10 2.68047e-05 3.00869e-10 0.00594672 1.61664e-07 1.43616e-05 2.16139e-10 144.974 0.0369624
27 0.00604626 2.0422e-07 4.1312e-05 7.59651e-11 2.14458e-05 2.21567e-09 2.69641e-05 9.40474e-10 0.00602481 2.01976e-07 1.43479e-05 1.01584e-09 146.356 0.039741
28 0.00613307 3.30781e-07 4.14964e-05 3.87458e-10 2.15586e-05 1.13475e-09 2.71399e-05 5.47773e-10 0.00611151 3.29641e-07 1.43565e-05 1.60671e-10 147.798 0.0608105
29 0.00620635 1.52162e-07 4.16383e-05 2.05428e-10 2.16902e-05 2.16681e-10 2.72933e-05 1.0903e-09 0.00618466 1.52345e-07 1.4345e-05 8.84997e-10 149.054 0.0490571
30 0.00627156 5.90799e-07 4.26221e-05 2.65825e-10 2.18109e-05 7.265e-10 2.79767e-05 3.96615e-10 0.00624975 5.90086e-07 1.46454e-05 1.30967e-10 147.143 0.0512901
31 0.00634044 9.60348e-08 4.19403e-05 6.13531e-11 2.19251e-05 1.41479e-09 2.75885e-05 7.51013e-10 0.00631852 9.46269e-08 1.43518e-05 8.12092e-10 151.178 0.0473049
32 0.00641738 1.09228e-07 4.20897e-05 2.85028e-10 2.20406e-05 8.41717e-11 2.77303e-05 8.3278e-10 0.00639534 1.09211e-07 1.43594e-05 1.11732e-09 152.469 0.05304
33 0.0064875 4.56418e-07 4.22609e-05 1.76054e-10 2.21528e-05 1.26614e-09 2.78806e-05 1.89732e-09 0.00646535 4.57681e-07 1.43803e-05 1.72134e-09 153.511 0.0522416
34 0.00655628 1.67952e-07 4.23844e-05 1.5154e-10 2.22754e-05 1.53426e-09 2.8019e-05 2.0201e-09 0.006534 1.69464e-07 1.43654e-05 1.86856e-09 154.686 0.0433285
35 0.00661768 1.15751e-07 4.17002e-05 1.07597e-09 2.23718e-05 1.24339e-09 2.76173e-05 9.39413e-10 0.00659531 1.14435e-07 1.4083e-05 2.01465e-09 158.697 0.04447
36 0.006691 1.57501e-07 4.1845e-05 8.43394e-10 2.24883e-05 2.6419e-10 2.77449e-05 7.06681e-10 0.00666851 1.57753e-07 1.41e-05 1.37606e-10 159.9 0.0431595
37 0.00674026 3.79646e-07 4.19909e-05 2.9914e-10 2.26e-05 1.42256e-09 2.79013e-05 1.04679e-09 0.00671766 3.78216e-07 1.40897e-05 7.47659e-10 160.517 0.0574107
38 0.00681947 2.17919e-07 4.21245e-05 1.25065e-09 2.27084e-05 8.97264e-10 2.802e-05 1.18018e-09 0.00679677 2.1884e-07 1.41045e-05 7.10092e-11 161.889 0.0466964
39 0.00686742 2.35691e-07 4.22316e-05 3.2304e-11 2.28138e-05 4.32283e-10 2.81484e-05 6.33493e-10 0.00684461 2.36061e-07 1.40832e-05 6.64966e-10 162.613 0.0510651
40 0.00693878 1.97002e-07 4.23838e-05 1.10746e-10 2.29163e-05 1.51013e-09 2.82841e-05 8.24967e-10 0.00691587 1.98532e-07 1.40997e-05 9.34747e-10 163.713 0.0454885
41 0.00699879 3.3583e-07 4.25211e-05 3.13738e-10 2.30107e-05 1.19678e-09 2.84223e-05 5.87612e-10 0.00697578 3.37035e-07 1.40988e-05 9.01201e-10 164.596 0.052756
42 0.00706478 1.90718e-07 4.2655e-05 1.14889e-09 2.3122e-05 1.50468e-09 2.85433e-05 3.22255e-10 0.00704166 1.9221e-07 1.41117e-05 8.27262e-10 165.626 0.0490405
