#phi0.322881 Cg
7.24674e-01 0.00000e+00
7.27427e-01 6.11474e-03
7.30180e-01 1.24848e-02
7.32934e-01 1.90402e-02
7.35687e-01 2.57340e-02
7.38440e-01 3.26737e-02
7.41193e-01 3.97431e-02
7.43947e-01 4.70565e-02
7.46700e-01 5.46070e-02
7.49453e-01 6.23626e-02
7.52206e-01 7.03245e-02
7.54960e-01 7.85136e-02
7.57713e-01 8.69562e-02
7.60466e-01 9.56468e-02
7.63219e-01 1.04560e-01
7.65973e-01 1.13688e-01
7.68726e-01 1.23049e-01
7.71479e-01 1.32665e-01
7.74232e-01 1.42547e-01
7.76986e-01 1.52694e-01
7.79739e-01 1.63104e-01
7.82492e-01 1.73775e-01
7.85246e-01 1.84716e-01
7.87999e-01 1.95935e-01
7.90752e-01 2.07435e-01
7.93505e-01 2.19224e-01
7.96259e-01 2.31304e-01
7.99012e-01 2.43679e-01
8.01765e-01 2.56344e-01
8.04518e-01 2.69301e-01
8.07272e-01 2.82558e-01
8.10025e-01 2.96123e-01
8.12778e-01 3.09999e-01
8.15531e-01 3.24189e-01
8.18285e-01 3.38698e-01
8.21038e-01 3.53534e-01
8.23791e-01 3.68701e-01
8.26544e-01 3.84201e-01
8.29298e-01 4.00034e-01
8.32051e-01 4.16196e-01
8.34804e-01 4.32696e-01
8.37558e-01 4.49544e-01
8.40311e-01 4.66744e-01
8.43064e-01 4.84304e-01
8.45817e-01 5.02222e-01
8.48571e-01 5.20499e-01
8.51324e-01 5.39144e-01
8.54077e-01 5.58165e-01
8.56830e-01 5.77569e-01
8.59584e-01 5.97359e-01
8.62337e-01 6.17537e-01
8.65090e-01 6.38097e-01
8.67843e-01 6.59040e-01
8.70597e-01 6.80375e-01
8.73350e-01 7.02110e-01
8.76103e-01 7.24253e-01
8.78856e-01 7.46807e-01
8.81610e-01 7.69773e-01
8.84363e-01 7.93149e-01
8.87116e-01 8.16929e-01
8.89870e-01 8.41122e-01
8.92623e-01 8.65740e-01
8.95376e-01 8.90794e-01
8.98129e-01 9.16293e-01
9.00883e-01 9.42244e-01
9.03636e-01 9.68651e-01
9.06389e-01 9.95516e-01
9.09142e-01 1.02284e+00
9.11896e-01 1.05062e+00
9.14649e-01 1.07888e+00
9.17402e-01 1.10763e+00
9.20155e-01 1.13686e+00
9.22909e-01 1.16659e+00
9.25662e-01 1.19682e+00
9.28415e-01 1.22753e+00
9.31168e-01 1.25873e+00
9.33922e-01 1.29041e+00
9.36675e-01 1.32256e+00
9.39428e-01 1.35521e+00
9.42181e-01 1.38837e+00
9.44935e-01 1.42205e+00
9.47688e-01 1.45627e+00
9.50441e-01 1.49102e+00
9.53195e-01 1.52632e+00
9.55948e-01 1.56217e+00
9.58701e-01 1.59857e+00
9.61454e-01 1.63552e+00
9.64208e-01 1.67303e+00
9.66961e-01 1.71113e+00
9.69714e-01 1.74981e+00
9.72467e-01 1.78910e+00
9.75221e-01 1.82899e+00
9.77974e-01 1.86950e+00
9.80727e-01 1.91061e+00
9.83480e-01 1.95234e+00
9.86234e-01 1.99466e+00
9.88987e-01 2.03757e+00
9.91740e-01 2.08108e+00
9.94493e-01 2.12520e+00
9.97247e-01 2.16996e+00
1.00000e+00 2.21535e+00
