#X h w pH Kernel
0.0054 1e-10 0.0001 10 10
0.00543333 1e-10 0.0001 10 10
0.00546667 1e-10 0.0001 10 10
0.0055 1e-10 0.0001 10 10
0.00553333 1e-10 0.0001 10 10
0.00556667 1e-10 0.0001 10 10
0.0056 1e-10 0.0001 10 10
0.00563333 1e-10 0.0001 10 10
0.00566667 1e-10 0.0001 10 10
0.0057 1e-10 0.0001 10 10
0.00573333 1e-10 0.0001 10 10
0.00576667 1e-10 0.0001 10 10
0.0058 1e-10 0.0001 10 10
0.00583333 1e-10 0.0001 10 10
0.00586667 1e-10 0.0001 10 10
0.0059 1e-10 0.0001 10 10
0.00593333 1e-10 0.0001 10 10
0.00596667 1e-10 0.0001 10 10
0.006 1e-10 0.0001 10 10
0.00603333 1e-10 0.0001 10 10
0.00606667 1e-10 0.0001 10 10
0.0061 1e-10 0.0001 10 10
0.00613333 1e-10 0.0001 10 10
0.00616667 1e-10 0.0001 10 10
0.0062 1e-10 0.0001 10 10
0.00623333 1e-10 0.0001 10 10
0.00626667 1e-10 0.0001 10 10
0.0063 1e-10 0.0001 10 10
0.00633333 1e-10 0.0001 10 10
0.00636667 1e-10 0.0001 10 10
0.0064 1e-10 0.0001 10 10
0.00643333 1e-10 0.0001 10 10
0.00646667 1e-10 0.0001 10 10
0.0065 1e-10 0.0001 10 10
0.00653333 1e-10 0.0001 10 10
0.00656667 1e-10 0.0001 10 10
0.0066 1e-10 0.0001 10 10
0.00663333 1e-10 0.0001 10 10
0.00666667 1e-10 0.0001 10 10
0.0067 1e-10 0.0001 10 10
0.00673333 1e-10 0.0001 10 10
0.00676667 1e-10 0.0001 10 10
0.0068 1e-10 0.0001 10 10
0.00683333 1e-10 0.0001 10 10
0.00686667 1e-10 0.0001 10 10
0.0069 1e-10 0.0001 10 10
0.00693333 1e-10 0.0001 10 10
0.00696667 1e-10 0.0001 10 10
0.007 1e-10 0.0001 10 10
0.00703333 1e-10 0.0001 10 10
0.00706667 1e-10 0.0001 10 10
0.0071 1e-10 0.0001 10 10
0.00713333 1e-10 0.0001 10 10
0.00716667 1e-10 0.0001 10 10
0.0072 1e-10 0.0001 10 10
0.00723333 1e-10 0.0001 10 10
0.00726667 1e-10 0.0001 10 10
0.0073 1e-10 0.0001 10 10
0.00733333 1e-10 0.0001 10 10
0.00736667 1e-10 0.0001 10 10
0.0074 1e-10 0.0001 10 10
0.00743333 1e-10 0.0001 10 10
0.00746667 1e-10 0.0001 10 10
0.0075 1e-10 0.0001 10 10
0.00753333 1e-10 0.0001 10 10
0.00756667 1e-10 0.0001 10 10
0.0076 1e-10 0.0001 10 10
0.00763333 1e-10 0.0001 10 10
0.00766667 1e-10 0.0001 10 10
0.0077 1e-10 0.0001 10 10
0.00773333 1e-10 0.0001 10 10
0.00776667 1e-10 0.0001 10 10
0.0078 1e-10 0.0001 10 10
0.00783333 1e-10 0.0001 10 10
0.00786667 1e-10 0.0001 10 10
0.0079 1e-10 0.0001 10 10
0.00793333 1e-10 0.0001 10 10
0.00796667 1e-10 0.0001 10 10
0.008 1e-10 0.0001 10 10
0.00803333 1e-10 0.0001 10 10
0.00806667 1e-10 0.0001 10 10
0.0081 1e-10 0.0001 10 10
0.00813333 1e-10 0.0001 10 10
0.00816667 1e-10 0.0001 10 10
0.0082 1e-10 0.0001 10 10
0.00823333 1e-10 0.0001 10 10
0.00826667 1e-10 0.0001 10 10
0.0083 1e-10 0.0001 10 10
0.00833333 1e-10 0.0001 10 10
0.00836667 1e-10 0.0001 10 10
0.0084 1e-10 0.0001 10 10
0.00843333 1e-10 0.0001 10 10
0.00846667 1e-10 0.0001 10 10
0.0085 1e-10 0.0001 10 10
0.00853333 1e-10 0.0001 10 10
0.00856667 1e-10 0.0001 10 10
0.0086 1e-10 0.0001 10 10
0.00863333 1e-10 0.0001 10 10
0.00866667 1e-10 0.0001 10 10
0.0087 1e-10 0.0001 10 10
0.00873333 1e-10 0.0001 10 10
0.00876667 1e-10 0.0001 10 10
0.0088 1e-10 0.0001 10 10
0.00883333 1e-10 0.0001 10 10
0.00886667 1e-10 0.0001 10 10
0.0089 1e-10 0.0001 10 10
0.00893333 1e-10 0.0001 10 10
0.00896667 1e-10 0.0001 10 10
0.009 1e-10 0.0001 10 10
0.00903333 1e-10 0.0001 10 10
0.00906667 1e-10 0.0001 10 10
0.0091 1e-10 0.0001 10 10
0.00913333 1e-10 0.0001 10 10
0.00916667 1e-10 0.0001 10 10
0.0092 1e-10 0.0001 10 10
0.00923333 1e-10 0.0001 10 10
