#phi0.076271 Cg
4.32813e-01 0.00000e+00
4.38485e-01 1.77115e-02
4.44157e-01 3.67980e-02
4.49829e-01 5.73708e-02
4.55501e-01 7.95039e-02
4.61173e-01 1.03346e-01
4.66844e-01 1.28769e-01
4.72516e-01 1.55977e-01
4.78188e-01 1.84992e-01
4.83860e-01 2.15880e-01
4.89532e-01 2.48709e-01
4.95204e-01 2.83475e-01
5.00876e-01 3.20241e-01
5.06547e-01 3.59063e-01
5.12219e-01 3.99999e-01
5.17891e-01 4.43034e-01
5.23563e-01 4.88251e-01
5.29235e-01 5.35682e-01
5.34907e-01 5.85388e-01
5.40579e-01 6.37414e-01
5.46251e-01 6.91729e-01
5.51922e-01 7.48411e-01
5.57594e-01 8.07473e-01
5.63266e-01 8.68890e-01
5.68938e-01 9.32779e-01
5.74610e-01 9.99215e-01
5.80282e-01 1.06820e+00
5.85954e-01 1.13982e+00
5.91625e-01 1.21412e+00
5.97297e-01 1.29101e+00
6.02969e-01 1.37044e+00
6.08641e-01 1.45257e+00
6.14313e-01 1.53749e+00
6.19985e-01 1.62521e+00
6.25657e-01 1.71579e+00
6.31329e-01 1.80933e+00
6.37000e-01 1.90590e+00
6.42672e-01 2.00545e+00
6.48344e-01 2.10786e+00
6.54016e-01 2.21325e+00
6.59688e-01 2.32175e+00
6.65360e-01 2.43342e+00
6.71032e-01 2.54823e+00
6.76704e-01 2.66616e+00
6.82375e-01 2.78736e+00
6.88047e-01 2.91199e+00
6.93719e-01 3.04011e+00
6.99391e-01 3.17169e+00
7.05063e-01 3.30669e+00
7.10735e-01 3.44524e+00
7.16407e-01 3.58751e+00
7.22078e-01 3.73363e+00
7.27750e-01 3.88362e+00
7.33422e-01 4.03741e+00
7.39094e-01 4.19497e+00
7.44766e-01 4.35649e+00
7.50438e-01 4.52215e+00
7.56110e-01 4.69204e+00
7.61782e-01 4.86621e+00
7.67453e-01 5.04455e+00
7.73125e-01 5.22697e+00
7.78797e-01 5.41368e+00
7.84469e-01 5.60491e+00
7.90141e-01 5.80086e+00
7.95813e-01 6.00166e+00
8.01485e-01 6.20737e+00
8.07156e-01 6.41793e+00
8.12828e-01 6.63341e+00
8.18500e-01 6.85406e+00
8.24172e-01 7.08013e+00
8.29844e-01 7.31178e+00
8.35516e-01 7.54911e+00
8.41188e-01 7.79207e+00
8.46860e-01 8.04048e+00
8.52531e-01 8.29427e+00
8.58203e-01 8.55376e+00
8.63875e-01 8.81924e+00
8.69547e-01 9.09100e+00
8.75219e-01 9.36926e+00
8.80891e-01 9.65416e+00
8.86563e-01 9.94572e+00
8.92235e-01 1.02439e+01
8.97906e-01 1.05488e+01
9.03578e-01 1.08609e+01
9.09250e-01 1.11806e+01
9.14922e-01 1.15081e+01
9.20594e-01 1.18436e+01
9.26266e-01 1.21872e+01
9.31938e-01 1.25388e+01
9.37609e-01 1.28980e+01
9.43281e-01 1.32653e+01
9.48953e-01 1.36409e+01
9.54625e-01 1.40254e+01
9.60297e-01 1.44190e+01
9.65969e-01 1.48222e+01
9.71641e-01 1.52351e+01
9.77313e-01 1.56577e+01
9.82984e-01 1.60897e+01
9.88656e-01 1.65313e+01
9.94328e-01 1.69831e+01
1.00000e+00 1.74457e+01
